31;Carlota;2.2903182000000015;48.8909197;italien;italien;11 Rue Henri Barbusse;;;92300;;LEVALLOIS-PERRET;;;;;01 47 48 04 96;;;;;;;0;1
32;Casa Cosi;2.291323700000021;48.8990372;italien;italien;14 Rue Collange;;;92300;;LEVALLOIS-PERRET;;;;;01 47 39 51 90;;;;;;;0;1
33;Chaptal;2.2819374;48.8899372;restaurant;traditionnel;67 Rue Chaptal;;;92300;;LEVALLOIS-PERRET;;http://restaurant-chaptal.com/;;;01 47 57 03 79;;;;;;;0;1
34;Chartier Levallois;2.284266;48.899353;restaurant;traditionnel;146 Rue du Président Wilson;;;92300;;LEVALLOIS-PERRET;;http://www.chartier-levallois.fr/;;;01 47 37 07 21;;;;;;;60;1
35;Chez Aldo;2.287330;48.897971;italien;italien;103 Rue Édouard Vaillant;;;92300;;LEVALLOIS-PERRET;;;;;01 42 70 78 15;;;;;;;225;1
36;Chez Kim;2.2976004;48.8945386;asiatique;chinois;47 Rue Victor Hugo;;;92300;;LEVALLOIS-PERRET;;;;;01 47 30 40 38;;;;;;;0;1
37;Chez Robert;2.2805901000000404;48.8909827;exotique;oriental;81 Rue Chaptal;;;92300;;LEVALLOIS-PERRET;;;;;;;;;;;;0;1
38;Clair de Lune;2.2878751000000648;48.8900906;brasserie;brasserie;23 Rue Henri Barbusse;;;92300;;LEVALLOIS-PERRET;;;;;;;;;;;;0;1
39;Clic;2.2817353;48.8906061;restaurant;traditionnel;60 Rue Chaptal;;;92300;;LEVALLOIS-PERRET;;;;;01 47 59 07 91;;;;;;;0;1
40;Cornelius;2.288643;48.889953;restaurant;traditionnel;9 Place Henri Barbusse;;;92300;;LEVALLOIS-PERRET;;;;;01 47 57 63 45;;;;;;;90;1
41;Côté Seine;2.281309999999962;48.8987841;crêperie;crêperie;5 Place Georges Pompidou;;;92300;;LEVALLOIS-PERRET;;;;;;;;;;;;0;1
42;Délice de Levallois;2.2832851;48.8913788;asiatique;chinois;24 Rue Voltaire;;;92300;;LEVALLOIS-PERRET;;;;;01 47 59 09 36;;;;;;;0;1
